Agreeable,Self.Kept,Married,Food.Insecurity,Nonanonymous.Play,Extraverted,Ill.This.Mo,Income.zscore,IG.Avg,OG.Avg,Can.Stay,log.Subj.SES,Prod.Income.Drop,Market.Items.zscore,Dependency,Population,Places.Lived,Can.Borrow,Risk.Aversion,Years.Education,Shortfall.Summary,No.Neg.Stereos,Coop.Labor,Media.zscore,Sex.Male,Times.Church.Mo,Version,Visited.zscore,Age
8,2,TRUE,1.5,FALSE,6,1,1.732838055,4,2.333333333,1,2.302585093,0,-0.652014366,3,Moseten,5,2,8,3,-0.466567946,,1,1.577539322,FALSE,4,A,-0.563449276,30
8,2,TRUE,0.5,TRUE,4,1,1.855201178,3.333333333,3,1,1.609437912,0,-0.175187764,0,Moseten,6,2,12,12.5,-2.089270538,,0,-0.216467429,FALSE,0,A,3.13734547,30
11,8,TRUE,3,FALSE,4,0,0.216974898,1.666666667,,1,0,1,-0.924051539,4,Moseten,8,1,8,10,1.764172118,,1,-0.664969116,TRUE,,E,-1.012711157,40
7,4,TRUE,3,TRUE,6,1,-0.800798371,,2,1,0.693147181,1,-0.287623728,3,Moseten,3,2,0,10,1.462733663,,1,0.792661368,FALSE,2,E,-0.338818335,30
7,7,FALSE,2,TRUE,10,1,-0.232169741,,2.333333333,0,2.302585093,1,-0.08344601,1,Moseten,5,0,8,4,0.141469526,0,1,0.400222392,FALSE,3,F,0.335074486,60
4,,TRUE,2.5,FALSE,6,0,-0.034229395,,,0,0.693147181,1,-1.125006744,1,Moseten,4,2,8,3,0.50066314,,,0.007783415,FALSE,0,D,0.335074486,50
8,3,TRUE,1.5,FALSE,8,0,0.360931513,,,1,0,0,0.098412769,3,Moseten,4,1,4,9,-0.466567946,,1,0.792661368,FALSE,1,E,-0.788080217,30
8,3,FALSE,0,TRUE,10,0,-0.499929045,3,3,1,0.693147181,1,-1.125006744,0,Moseten,7,1,4,12,-1.596743386,,1,-0.552843695,TRUE,6,B,2.581383892,50
4,0,TRUE,0.5,TRUE,6,0,-0.304148049,2.333333333,4.666666667,1,0.693147181,1,-0.382015806,4,Moseten,2,1,12,11,-0.031795955,,1,-0.27253014,TRUE,,D,-0.563449276,40
4,2,TRUE,2,TRUE,6,0,1.077835456,2.333333333,,1,0.693147181,0,0.049679137,2,Moseten,3,2,10,9,-0.408812786,,0,0.456285103,FALSE,1,C,0.110443546,30
8,6,TRUE,0.5,TRUE,10,0,-0.448104664,1,4,0,0,1,0.06978983,4,Moseten,6,2,4,6,-0.031795955,,1,0.007783415,FALSE,0,B,-1.012711157,20
6,0,TRUE,1,TRUE,6,0,-0.048894976,3,4,1,1.386294361,1,1.688968927,1,Moseten,3,1,8,15,-0.576917703,,1,2.362417275,FALSE,1,C,-0.338818335,40
6,0,TRUE,0.5,FALSE,2,1,-0.268158895,3.666666667,3.333333333,0,1.386294361,0,-0.06996321,0,Moseten,4,2,10,11,-2.089270538,0,1,3.147295228,TRUE,0,B,-0.338818335,50
6,13,TRUE,2,TRUE,6,1,-0.24368627,1.666666667,,0,1.609437912,0,-0.219592592,4,Moseten,3,1,8,11,0.194064123,,0,-0.721031827,FALSE,1,D,-0.563449276,40
8,11,TRUE,1,TRUE,6,0,-0.347335033,3,0.333333333,0,1.791759469,0,-0.172428199,5,Moseten,4,2,8,10,-0.222884652,,0,3.147295228,TRUE,4,C,-0.338818335,50
6,3,TRUE,2,TRUE,4,1,1.534177926,4,2,1,1.098612289,1,-0.382015806,4,Moseten,7,2,8,12,1.045784889,,1,-0.4082019,FALSE,0,F,-0.563449276,30
8,3,TRUE,1,TRUE,2,0,-0.246565403,3,3,1,1.252762968,0,-0.415546638,5,Moseten,4,2,2,12,-0.222884652,1,0,1.689664744,TRUE,3,B,0.559705427,40
8,2,TRUE,1,TRUE,4,0,-0.420273052,2.333333333,4,0,0,1,-0.277890571,5,Moseten,5,1,8,3,0.628836114,,0,-0.384655562,TRUE,0,C,-0.338818335,40
4,3,TRUE,1.5,TRUE,12,0,0.660361272,3,3,0,0,1,1.630278925,5,Moseten,5,2,4,5,0.988029729,0,1,0.007783415,FALSE,3,A,1.008967308,30
5,8,TRUE,1,TRUE,1,1,-0.424351822,2.666666667,1.666666667,1,0,1,-0.500103907,3,Moseten,3,1,7,7,0.025959206,,0,1.016912212,FALSE,3,A,-0.338818335,30
8,,TRUE,2,FALSE,2,0,-0.304867832,,,0,1.098612289,1,-0.273136795,2,Moseten,3,2,12,3,0.44290798,,,0.400222392,FALSE,4,C,-0.788080217,40
8,,TRUE,0,TRUE,8,0,-0.710825486,,,0,0.693147181,1,1.879821275,1,Moseten,5,0,8,16,-1.295304932,,,3.147295228,TRUE,6,B,-0.114187395,30
