RID,Order,Chose_R,Loc.SameValley_Diff,Loc.City_Diff,Wealth.High_Diff,Wealth.Med_Diff,Trust.Med_Diff,Trust.High_Diff,Good.Med_Diff,Good.High_Diff,Relig.Other_Diff,Pueblo.Other_Diff,Population,Version,Age,Sex,School_Yrs,NetIncome,Type,Nonanonymous_Play,Average_Given.Out
8,17,0,-1,1,0,0,1,-1,0,0,1,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,12,1,0,0,1,0,-1,1,0,0,0,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,1,1,0,0,0,0,-1,1,0,1,1,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
83,3,0,0,0,1,-1,-1,1,-1,0,1,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,4,1,0,-1,-1,1,0,0,0,-1,0,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,9,0,0,0,-1,1,0,0,-1,1,0,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,5,1,0,1,0,0,0,0,1,0,-1,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,11,1,1,0,0,-1,0,0,0,1,-1,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,18,0,1,-1,0,0,0,0,0,1,0,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,1,1,0,1,-1,1,0,1,1,-1,-1,-1,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,2,0,-1,0,0,-1,-1,1,0,0,1,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,10,1,1,-1,0,0,-1,1,0,0,1,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,15,0,-1,0,-1,0,0,1,0,0,0,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,16,1,1,0,0,0,1,0,0,0,0,1,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,8,1,0,0,1,0,1,0,1,0,0,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,6,1,0,-1,1,-1,1,-1,0,0,-1,-1,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,17,1,1,-1,0,0,0,0,0,-1,1,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,7,1,0,1,1,-1,1,-1,0,0,0,-1,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,13,0,0,1,-1,1,0,0,0,-1,-1,1,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,14,1,0,0,0,0,0,0,0,0,1,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
83,12,1,0,-1,1,-1,1,0,1,0,-1,0,Intercultural,E,40,fem,8,-1850,Religion,TRUE,NA
205,1,1,0,0,0,0,-1,1,0,1,-1,1,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,2,0,0,0,-1,0,1,0,-1,0,1,-1,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,17,0,-1,1,0,0,1,-1,0,0,-1,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,16,1,0,-1,0,0,1,0,0,1,0,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,3,0,1,-1,0,0,0,-1,-1,1,0,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,5,0,0,0,0,0,0,-1,-1,0,1,1,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,11,0,1,0,0,-1,0,0,0,1,1,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,7,0,0,-1,1,0,0,0,1,-1,1,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,9,1,1,0,0,0,0,0,1,-1,-1,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,18,0,1,0,0,0,-1,0,0,0,1,-1,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,6,1,-1,0,-1,0,0,-1,0,0,-1,1,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,14,1,0,1,0,0,1,-1,-1,1,0,1,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,12,1,0,0,1,0,-1,1,0,0,0,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,8,0,-1,1,0,0,0,0,0,1,1,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,4,0,1,0,1,-1,-1,0,1,-1,0,1,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,15,0,0,0,0,0,0,0,0,0,1,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,13,1,0,1,1,0,0,0,-1,1,-1,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
205,10,0,-1,0,1,0,1,-1,1,-1,1,0,Intercultural,D,80,male,2,40,Pueblo,TRUE,3
7,3,1,1,0,0,0,1,0,0,0,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,9,0,-1,1,0,0,0,-1,1,-1,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,8,0,-1,1,0,0,0,0,0,-1,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,12,0,0,-1,0,1,-1,1,0,-1,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,14,0,1,0,0,0,0,0,-1,1,NA,-1,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,16,0,0,-1,0,0,0,0,-1,0,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,11,1,0,0,1,-1,0,0,1,-1,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,10,0,-1,0,0,0,-1,0,0,0,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,15,0,0,0,0,1,1,-1,-1,1,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,7,0,0,0,0,0,1,-1,0,-1,NA,1,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,5,1,1,0,0,0,0,1,0,1,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,4,1,0,1,0,0,-1,1,1,-1,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,6,0,0,0,-1,1,-1,1,-1,0,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,1,0,-1,1,1,-1,1,0,0,-1,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,18,1,0,0,0,0,0,0,0,0,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,17,0,-1,0,-1,0,0,1,0,0,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,13,1,0,0,0,0,0,0,0,0,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
7,2,0,-1,1,0,0,-1,1,0,0,NA,0,Intercultural,B,30,fem,14,3240,Religion,TRUE,0
160,4,0,0,1,0,0,-1,1,1,-1,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,6,0,0,0,-1,1,-1,1,-1,0,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,14,1,1,0,0,0,0,0,-1,1,NA,-1,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,5,1,1,0,0,0,0,1,0,1,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,12,0,0,-1,0,1,-1,1,0,-1,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,1,0,-1,1,1,-1,1,0,0,-1,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,15,1,0,0,0,1,1,-1,-1,1,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,13,1,0,0,0,0,0,0,0,0,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,9,1,-1,1,0,0,0,-1,1,-1,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,10,0,-1,0,0,0,-1,0,0,0,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,11,0,0,0,1,-1,0,0,1,-1,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,8,0,-1,1,0,0,0,0,0,-1,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,16,0,0,-1,0,0,0,0,-1,0,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,2,0,-1,1,0,0,-1,1,0,0,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,3,0,1,0,0,0,1,0,0,0,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,17,1,-1,0,-1,0,0,1,0,0,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,7,0,0,0,0,0,1,-1,0,-1,NA,1,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
160,18,0,0,0,0,0,0,0,0,0,NA,0,Intercultural,A,50,fem,3,-2600,Religion,FALSE,NA
16,12,0,0,0,-1,1,0,0,-1,1,0,-1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,8,0,0,0,0,0,0,0,0,0,-1,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,7,0,1,-1,0,0,1,0,-1,0,0,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,4,0,0,-1,1,0,-1,0,0,0,1,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,3,0,1,0,1,0,0,-1,0,0,0,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,10,1,1,0,0,0,1,-1,1,0,0,1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,1,1,0,1,-1,1,-1,1,0,0,1,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,9,1,-1,1,0,0,1,0,-1,0,0,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,2,1,-1,0,0,0,0,0,1,-1,0,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
