"RID","Order","Chose_R","Loc.SameValley_Diff","Loc.City_Diff","Wealth.High_Diff","Wealth.Med_Diff","Trust.Med_Diff","Trust.High_Diff","Good.Med_Diff","Good.High_Diff","Relig.Other_Diff","Pueblo.Other_Diff","Population","Version","Age","Sex","School_Yrs","NetIncome"
18,2,1,1,0,0,0,0,0,1,-1,1,-1,"Moseten","J",40,"male",7,-1518
18,3,1,0,0,0,-1,1,0,0,1,-1,0,"Moseten","J",40,"male",7,-1518
18,6,0,0,1,0,1,0,0,0,0,0,1,"Moseten","J",40,"male",7,-1518
18,9,0,-1,0,0,0,0,0,-1,1,1,0,"Moseten","J",40,"male",7,-1518
18,4,0,0,-1,0,1,-1,1,0,-1,-1,0,"Moseten","J",40,"male",7,-1518
18,14,0,-1,0,-1,0,0,-1,0,0,1,0,"Moseten","J",40,"male",7,-1518
18,16,1,1,-1,0,0,-1,1,0,0,1,0,"Moseten","J",40,"male",7,-1518
18,11,1,0,1,0,0,-1,1,-1,1,0,0,"Moseten","J",40,"male",7,-1518
18,7,0,1,-1,0,0,0,-1,1,-1,0,1,"Moseten","J",40,"male",7,-1518
18,1,0,0,-1,0,0,-1,1,1,-1,0,0,"Moseten","J",40,"male",7,-1518
18,10,1,0,-1,1,-1,0,0,0,1,-1,0,"Moseten","J",40,"male",7,-1518
18,13,0,0,-1,0,0,-1,0,0,1,0,1,"Moseten","J",40,"male",7,-1518
18,8,0,-1,0,0,0,-1,0,0,0,0,1,"Moseten","J",40,"male",7,-1518
18,17,1,0,1,-1,1,0,0,0,-1,-1,1,"Moseten","J",40,"male",7,-1518
18,15,0,-1,0,-1,1,1,-1,0,1,1,0,"Moseten","J",40,"male",7,-1518
18,12,1,1,-1,0,1,1,0,0,0,1,0,"Moseten","J",40,"male",7,-1518
18,5,0,0,0,1,-1,1,-1,-1,0,0,1,"Moseten","J",40,"male",7,-1518
25,16,1,0,0,0,0,1,0,-1,1,0,1,"Moseten","H",45,"male",9,-1020
25,17,0,1,-1,-1,1,0,-1,0,0,1,0,"Moseten","H",45,"male",9,-1020
25,18,0,-1,0,0,-1,0,0,0,-1,1,-1,"Moseten","H",45,"male",9,-1020
25,10,1,1,0,0,0,1,-1,1,0,0,-1,"Moseten","H",45,"male",9,-1020
25,3,0,1,0,1,0,0,-1,0,0,0,0,"Moseten","H",45,"male",9,-1020
25,4,1,0,-1,1,0,-1,0,0,0,-1,-1,"Moseten","H",45,"male",9,-1020
25,5,1,-1,1,0,-1,0,0,-1,1,0,-1,"Moseten","H",45,"male",9,-1020
25,2,1,-1,0,0,0,0,0,1,-1,0,0,"Moseten","H",45,"male",9,-1020
25,14,0,0,0,1,0,0,1,-1,1,1,1,"Moseten","H",45,"male",9,-1020
25,15,0,0,1,0,-1,-1,0,1,-1,1,1,"Moseten","H",45,"male",9,-1020
25,7,1,1,-1,0,0,1,0,-1,0,0,-1,"Moseten","H",45,"male",9,-1020
25,1,1,0,1,-1,1,-1,1,0,0,-1,0,"Moseten","H",45,"male",9,-1020
25,9,1,-1,1,0,0,1,0,-1,0,0,0,"Moseten","H",45,"male",9,-1020
25,11,1,0,0,0,0,-1,1,0,1,1,1,"Moseten","H",45,"male",9,-1020
25,8,0,0,0,0,0,0,0,0,0,1,1,"Moseten","H",45,"male",9,-1020
25,6,1,-1,1,-1,0,0,-1,1,0,1,0,"Moseten","H",45,"male",9,-1020
25,13,0,0,0,-1,0,0,-1,1,-1,1,-1,"Moseten","H",45,"male",9,-1020
25,12,1,0,0,-1,1,0,0,-1,1,0,1,"Moseten","H",45,"male",9,-1020
26,2,1,1,0,0,0,0,0,1,-1,1,-1,"Moseten","J",55,"male",7,3790
26,13,1,0,-1,0,0,-1,0,0,1,0,1,"Moseten","J",55,"male",7,3790
26,16,1,1,-1,0,0,-1,1,0,0,1,0,"Moseten","J",55,"male",7,3790
26,9,0,-1,0,0,0,0,0,-1,1,1,0,"Moseten","J",55,"male",7,3790
26,18,1,0,0,0,1,0,0,1,0,0,0,"Moseten","J",55,"male",7,3790
26,15,1,-1,0,-1,1,1,-1,0,1,1,0,"Moseten","J",55,"male",7,3790
26,3,0,0,0,0,-1,1,0,0,1,-1,0,"Moseten","J",55,"male",7,3790
26,10,1,0,-1,1,-1,0,0,0,1,-1,0,"Moseten","J",55,"male",7,3790
26,4,1,0,-1,0,1,-1,1,0,-1,-1,0,"Moseten","J",55,"male",7,3790
26,6,1,0,1,0,1,0,0,0,0,0,1,"Moseten","J",55,"male",7,3790
26,7,0,1,-1,0,0,0,-1,1,-1,0,1,"Moseten","J",55,"male",7,3790
26,17,0,0,1,-1,1,0,0,0,-1,-1,1,"Moseten","J",55,"male",7,3790
26,12,1,1,-1,0,1,1,0,0,0,1,0,"Moseten","J",55,"male",7,3790
26,5,0,0,0,1,-1,1,-1,-1,0,0,1,"Moseten","J",55,"male",7,3790
26,1,0,0,-1,0,0,-1,1,1,-1,0,0,"Moseten","J",55,"male",7,3790
26,11,1,0,1,0,0,-1,1,-1,1,0,0,"Moseten","J",55,"male",7,3790
26,14,0,-1,0,-1,0,0,-1,0,0,1,0,"Moseten","J",55,"male",7,3790
26,8,1,-1,0,0,0,-1,0,0,0,0,1,"Moseten","J",55,"male",7,3790
27,8,0,-1,1,0,0,0,0,0,-1,0,0,"Moseten","A",25,"fem",14,1310
27,14,1,1,0,0,0,0,0,-1,1,0,-1,"Moseten","A",25,"fem",14,1310
27,3,1,1,0,0,0,1,0,0,0,0,0,"Moseten","A",25,"fem",14,1310
27,4,1,0,1,0,0,-1,1,1,-1,0,0,"Moseten","A",25,"fem",14,1310
27,11,0,0,0,1,-1,0,0,1,-1,0,0,"Moseten","A",25,"fem",14,1310
27,12,1,0,-1,0,1,-1,1,0,-1,-1,0,"Moseten","A",25,"fem",14,1310
27,7,0,0,0,0,0,1,-1,0,-1,-1,1,"Moseten","A",25,"fem",14,1310
27,13,1,0,0,0,0,0,0,0,0,-1,0,"Moseten","A",25,"fem",14,1310
27,5,1,1,0,0,0,0,1,0,1,0,0,"Moseten","A",25,"fem",14,1310
27,6,0,0,0,-1,1,-1,1,-1,0,-1,0,"Moseten","A",25,"fem",14,1310
27,10,0,-1,0,0,0,-1,0,0,0,0,0,"Moseten","A",25,"fem",14,1310
27,1,1,-1,1,1,-1,1,0,0,-1,1,0,"Moseten","A",25,"fem",14,1310
27,16,0,0,-1,0,0,0,0,-1,0,-1,0,"Moseten","A",25,"fem",14,1310
27,18,1,0,0,0,0,0,0,0,0,-1,0,"Moseten","A",25,"fem",14,1310
27,2,1,-1,1,0,0,-1,1,0,0,0,0,"Moseten","A",25,"fem",14,1310
27,9,0,-1,1,0,0,0,-1,1,-1,0,0,"Moseten","A",25,"fem",14,1310
27,17,1,-1,0,-1,0,0,1,0,0,0,0,"Moseten","A",25,"fem",14,1310
27,15,0,0,0,0,1,1,-1,-1,1,1,0,"Moseten","A",25,"fem",14,1310
31,18,1,1,0,0,0,-1,0,0,0,-1,0,"Moseten","C",45,"fem",4,820
31,14,0,0,1,0,0,1,-1,-1,1,0,0,"Moseten","C",45,"fem",4,820
31,1,0,0,0,0,0,-1,1,0,1,1,0,"Moseten","C",45,"fem",4,820
31,4,0,1,0,1,-1,-1,0,1,-1,0,0,"Moseten","C",45,"fem",4,820
31,15,1,0,0,0,0,0,0,0,0,-1,0,"Moseten","C",45,"fem",4,820
31,17,1,-1,1,0,0,1,-1,0,0,1,-1,"Moseten","C",45,"fem",4,820
31,12,1,0,0,1,0,-1,1,0,0,0,0,"Moseten","C",45,"fem",4,820
31,10,1,-1,0,1,0,1,-1,1,-1,-1,-1,"Moseten","C",45,"fem",4,820
31,16,1,0,-1,0,0,1,0,0,1,0,0,"Moseten","C",45,"fem",4,820
31,5,0,0,0,0,0,0,-1,-1,0,-1,0,"Moseten","C",45,"fem",4,820
